method,percentage,replicate
mean,0,1
mean,0,2
mean,0,3
mean,0,4
mean,0,5
mean,0,6
mean,0,7
mean,0,8
mean,0,9
mean,0,10
mean,1,1
mean,1,2
mean,1,3
mean,1,4
mean,1,5
mean,1,6
mean,1,7
mean,1,8
mean,1,9
mean,1,10
mean,5,1
mean,5,2
mean,5,3
mean,5,4
mean,5,5
mean,5,6
mean,5,7
mean,5,8
mean,5,9
mean,5,10
mean,10,1
mean,10,2
mean,10,3
mean,10,4
mean,10,5
mean,10,6
mean,10,7
mean,10,8
mean,10,9
mean,10,10
sum,0,1
sum,0,2
sum,0,3
sum,0,4
sum,0,5
sum,0,6
sum,0,7
sum,0,8
sum,0,9
sum,0,10
sum,1,1
sum,1,2
sum,1,3
sum,1,4
sum,1,5
sum,1,6
sum,1,7
sum,1,8
sum,1,9
sum,1,10
sum,5,1
sum,5,2
sum,5,3
sum,5,4
sum,5,5
sum,5,6
sum,5,7
sum,5,8
sum,5,9
sum,5,10
sum,10,1
sum,10,2
sum,10,3
sum,10,4
sum,10,5
sum,10,6
sum,10,7
sum,10,8
sum,10,9
sum,10,10
